"filename", "language", "YAML", "JSON", "Java", "Java Properties", "Log", "Markdown", "Batch", "Ini", "XML", "comment", "blank", "total"
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameLg$5.class", "Java", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameLg$6.class", "Java", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameLg.class", "Java", 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 3, 357
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameLgListener$1.class", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameLgListener$2.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameLgListener.class", "Java", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 2, 94
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameNote.class", "Java", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameType.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\PlayerNote.class", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\RegisterType.class", "Java", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\SpecialsBlock\AccuseBlockData.class", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\SpecialsBlock\CauldronBlockData.class", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\SpecialsBlock\SpecialBlock.class", "Java", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 71
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\SpecialsBlock\SpecialBlockData.class", "Java", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
